ElapsedTime,Unix,VBUS,IBUS,DP,DM,CC1,CC2,TEMP,CHARGE,ENERGY,PWR,,,,
00:00.9,0.92,11.993005,0.966109,0.033,0.049,0.004,1.589,35.617188,0.000211227,0.002533382,11.58655,,,,
00:00.9,0.94,11.992185,0.9225,0.033,0.047,0.003,1.589,35.617188,0.000216352,0.002594842,11.062791,,,,
00:01.0,0.96,11.991619,0.91908,0.033,0.047,0.003,1.588,35.617188,0.000221458,0.002656071,11.021257,,,,
00:01.0,0.98,11.991951,0.854975,0.033,0.045,0.003,1.589,35.617188,0.000226208,0.002713032,10.252818,,,,
00:01.0,1,11.991912,0.827537,0.033,0.048,0.003,1.588,35.59375,0.000230805,0.002768163,9.9237509,,,,
00:01.0,1.02,11.99115,0.901404,0.032,0.047,0.003,1.588,35.59375,0.000235813,0.002828213,10.808871,,,,
00:01.0,1.04,11.989548,0.973167,0.033,0.045,0.004,1.589,35.59375,0.000241219,0.002893034,11.667832,,,,
00:01.1,1.06,11.988279,0.987427,0.032,0.044,0.004,1.589,35.59375,0.000246705,0.002958798,11.83755,,,,
00:01.1,1.08,11.987791,0.950002,0.033,0.047,0.003,1.588,35.59375,0.000251983,0.003022067,11.388425,,,,
00:01.1,1.1,11.987322,0.952163,0.033,0.048,0.004,1.589,35.59375,0.000257273,0.003085478,11.413884,,,,
00:01.1,1.12,11.98699,0.914706,0.034,0.049,0.003,1.588,35.59375,0.000262354,0.003146392,10.964572,,,,
00:01.1,1.14,11.988338,0.752571,0.032,0.047,0.003,1.588,35.59375,0.000266535,0.003196515,9.0220755,,,,
00:01.2,1.16,11.987185,1.033482,0.032,0.046,0.005,1.59,35.59375,0.000272277,0.00326534,12.38854,,,,
00:01.2,1.18,11.985662,1.032991,0.033,0.048,0.003,1.588,35.59375,0.000278016,0.003334124,12.381081,,,,
00:01.2,1.2,11.9849,0.965948,0.031,0.048,0.004,1.589,35.59375,0.000283382,0.003398439,11.57679,,,,
00:01.2,1.22,12.021619,0.788942,0.033,0.045,0.002,1.587,35.609375,0.000287765,0.00345113,9.4843601,,,,
00:01.2,1.24,12.057185,0.510208,0.033,0.046,0.003,1.588,35.609375,0.0002906,0.003485306,6.1516722,,,,
00:01.3,1.26,12.054275,0.526802,0.032,0.046,0.003,1.589,35.609375,0.000293526,0.003520585,6.3502162,,,,
00:01.3,1.28,12.050994,0.529051,0.033,0.051,0.002,1.587,35.609375,0.000296465,0.003556005,6.3755904,,,,
00:01.3,1.3,12.04822,0.483527,0.033,0.047,0.003,1.585,35.609375,0.000299152,0.00358837,5.8256397,,,,
00:01.3,1.32,12.045701,0.485434,0.034,0.047,0.002,1.587,35.609375,0.000301849,0.003620855,5.8473928,,,,
00:01.3,1.34,12.043338,0.532339,0.029,0.044,0.003,1.59,35.601563,0.000304806,0.003656473,6.4111385,,,,
00:01.4,1.36,11.922634,1.02712,0.033,0.045,0.004,1.59,35.601563,0.000310512,0.003724506,12.245976,,,,
00:01.4,1.38,11.924509,1.045573,0.033,0.049,0.005,1.589,35.601563,0.000316321,0.003793772,12.467945,,,,
00:01.4,1.4,11.927576,1.046225,0.033,0.049,0.004,1.589,35.601563,0.000322133,0.003863099,12.478928,,,,
00:01.4,1.42,11.930994,1.034154,0.033,0.048,0.003,1.59,35.601563,0.000327879,0.003931647,12.338485,,,,
00:01.4,1.44,11.999685,0.934048,0.034,0.045,0.003,1.588,35.601563,0.000333068,0.003993915,11.208282,,,,
00:01.5,1.46,12.005818,0.910815,0.032,0.044,0.003,1.589,35.601563,0.000338128,0.004054665,10.935079,,,,
00:01.5,1.48,12.004021,0.912192,0.03,0.048,0.004,1.591,35.601563,0.000343196,0.004115498,10.949972,,,,
00:01.5,1.5,12.002166,0.935275,0.033,0.046,0.004,1.59,35.601563,0.000348392,0.004177861,11.225326,,,,
00:01.5,1.52,12.000193,0.951241,0.032,0.05,0.004,1.59,35.601563,0.000353676,0.004241278,11.415076,,,,
00:01.5,1.54,11.999138,0.866752,0.036,0.049,0.004,1.589,35.601563,0.000358492,0.004299058,10.400277,,,,
00:01.6,1.56,12.000173,0.581138,0.033,0.046,0.002,1.588,35.59375,0.00036172,0.004337801,6.9737565,,,,
00:01.6,1.58,12.003064,0.451036,0.03,0.045,0.003,1.589,35.59375,0.000364226,0.004367878,5.413814,,,,
00:01.6,1.6,12.003181,0.694252,0.032,0.046,0.003,1.588,35.59375,0.000368083,0.004414173,8.3332324,,,,
00:01.6,1.62,12.000818,0.824644,0.033,0.048,0.003,1.589,35.59375,0.000372664,0.004469153,9.8964026,,,,
00:01.6,1.64,11.998845,0.919736,0.033,0.044,0.004,1.589,35.59375,0.000377774,0.004530463,11.03577,,,,
00:01.7,1.66,11.997068,0.907689,0.033,0.044,0.003,1.591,35.59375,0.000382816,0.004590961,10.889607,,,,
00:01.7,1.68,11.995623,0.921273,0.033,0.046,0.003,1.589,35.59375,0.000387935,0.004652357,11.051244,,,,
00:01.7,1.7,11.994783,0.856701,0.032,0.048,0.004,1.59,35.59375,0.000392694,0.004709445,10.275943,,,,
00:01.7,1.72,11.994431,0.814782,0.033,0.049,0.004,1.588,35.59375,0.000397221,0.004763739,9.7728465,,,,
00:01.7,1.74,11.993904,0.814456,0.033,0.048,0.004,1.589,35.59375,0.000401745,0.004818008,9.7685071,,,,
00:01.8,1.76,11.99324,0.856801,0.036,0.049,0.003,1.589,35.59375,0.000406505,0.004875096,10.27582,,,,
